	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Pogz	3081	3052	2352	2092	2434	2531
Pola1	2222	1985	1639	1447	1685	1933
Pola2	304	290	211	202	236	248
Polb	1893	1805	1347	1338	1613	1760
Pold1	816	749	627	465	570	609
Pold2	576	512	426	383	431	428
Pold3	2495	2195	1777	1693	1886	2077
Pold4	304	272	200	173	187	223
Poldip2	2956	2784	1974	2004	2056	2186
Poldip3	5957	5697	4376	4004	4219	4806
Pole	124	109	81	47	85	88
Pole2	48	66	40	48	62	71
Pole3	642	599	452	465	604	639
Pole4	2089	2006	1434	1539	1674	1939
Polg	2598	2439	1875	1966	2038	2248
Polg2	1916	1786	1388	1094	1287	1331
Polh	602	597	474	407	432	456
Poli	629	679	504	360	412	449
Polk	1255	1083	855	780	941	1016
Poll	677	657	523	378	419	549
Polm	127	144	80	92	100	88
Poln	68	70	52	46	60	49
Polq	413	452	309	206	303	306
Polr1a	1543	1448	1096	929	1036	1095
Polr1b	957	990	734	534	641	618
Polr1c	1481	1462	1129	951	1061	1114
Polr1d	1946	1750	1302	1142	1200	1386
Polr1e	350	336	255	201	279	266
Polr2a	4210	3862	3215	2370	3069	2830
Polr2b	7037	6591	5009	4617	5009	5591
Polr2c	2049	1994	1458	1520	1595	1770
Polr2d	841	770	558	504	616	629
Polr2e	1053	1144	735	740	896	871
Polr2f	767	728	514	511	494	609
Polr2g	1607	1581	1158	1096	1291	1435
Polr2h	446	417	339	332	314	395
Polr2i	673	599	487	492	532	550
Polr2j	1443	1492	1092	1026	1098	1210
Polr2k	1734	1693	1211	1163	1220	1459
Polr2l	1331	1239	1000	804	895	999
Polr2m	5893	5661	3944	4185	4533	4971
Polr3a	2007	1882	1485	1303	1600	1605
Polr3b	1279	1225	972	1053	1173	1219
Polr3c	868	923	647	588	658	766
Polr3d	728	720	577	511	502	586
Polr3e	1733	1783	1339	1089	1268	1446
Polr3f	2415	2469	1723	1964	2158	2346
Polr3g	314	316	233	217	263	294
Polr3gl	1421	1295	995	1046	1152	1256
Polr3h	1750	1715	1237	1209	1433	1491
Polr3k	2129	1936	1490	1693	1879	1937
Polrmt	1119	1059	836	743	841	864
Pom121	724	729	582	517	609	557
Pom121l12	0	0	0	0	0	0
Pom121l2	0	0	0	0	2	0
Pomc	78	82	79	80	85	93
Pomgnt1	2674	2571	2011	1906	1987	2290
Pomgnt2	721	682	555	513	625	631
Pomk	1282	1198	878	809	866	1000
Pomp	2576	2551	1802	1686	1791	1971
Pomt1	834	866	651	602	759	747
Pomt2	3011	2751	2020	1957	2273	2490
Pon1	74	105	129	29	157	44
Pon2	651	664	459	496	507	592
Pon3	41	43	32	23	39	15
Pop1	316	354	252	175	218	193
Pop4	1170	1098	834	872	969	1063
Pop5	967	886	754	559	590	633
Pop7	554	571	403	384	479	509
Popdc2	19	19	13	6	10	21
Popdc3	256	228	178	153	186	228
Por	2354	2177	1715	1634	1736	1991
Porcn	895	886	584	654	709	727
Postn	117	117	78	130	92	86
Pot1a	1648	1510	1120	1005	1197	1292
Pot1b	491	490	427	303	389	378
Poteg	6	7	6	8	7	8
Pou1f1	0	9	1	0	4	1
Pou2af1	5	5	1	1	1	2
Pou2f1	3433	3430	2609	2422	2841	2747
Pou2f2	202	172	136	117	142	135
Pou2f3	0	2	0	0	2	1
Pou3f1	54	49	41	41	49	52
Pou3f2	131	156	116	81	109	120
Pou3f3	304	286	167	179	223	228
Pou3f4	4	5	0	0	0	0
Pou4f1	1359	1348	908	825	870	910
Pou4f2	376	376	245	227	222	265
Pou4f3	195	178	102	96	103	140
Pou5f1	4	4	3	0	0	0
Pou5f2	14	10	10	8	7	10
Pou6f1	2427	2323	1843	1702	2032	2169
Pou6f2	233	262	178	156	190	229
Pp2d1	499	455	290	328	326	404
Ppa1	6331	5805	4294	4062	4355	4946
Ppa2	2729	2530	1967	1788	2006	2174
Ppan	678	686	556	545	548	640
Ppara	684	642	512	540	635	657
Ppard	705	721	566	515	580	581
Pparg	4	8	6	6	10	9
Ppargc1a	2705	2525	1941	1781	2019	2160
Ppargc1b	1049	1084	865	1065	1232	1196
Ppat	1029	1064	748	952	928	1006
Ppbp	1	4	1	4	9	8
Ppcdc	800	751	622	551	584	657
Ppcs	220	202	140	134	154	171
Ppdpf	916	830	681	557	627	712
Ppef1	54	64	51	37	40	38
Ppef2	7603	7071	5738	6360	7202	7396
Ppfia1	2117	2244	1568	1354	1571	1598
Ppfia2	7212	6714	5323	4507	5245	5418
Ppfia3	2540	2348	1767	1810	1879	2019
Ppfia4	859	814	574	658	656	692
Ppfibp1	886	863	594	520	597	604
Ppfibp2	71	100	73	61	65	46
Pphln1	1671	1596	1174	1300	1557	1671
Ppia	22299	21282	15118	16533	17495	20008
Ppib	2800	2518	1923	1928	2072	2359
Ppic	41	33	29	19	17	18
Ppid	2679	2688	1960	1762	2015	2231
Ppie	1062	990	738	695	703	834
Ppif	297	300	257	269	256	290
Ppig	4006	4010	2740	2999	3379	3502
Ppih	787	647	553	528	577	653
Ppil1	717	714	538	412	404	461
Ppil2	2820	2688	2112	1917	2219	2281
Ppil3	623	574	457	582	564	628
Ppil4	4141	3947	3100	3104	3262	3706
Ppil6	187	222	156	170	218	246
Ppip5k1	7721	7342	5763	4851	5538	5685
Ppip5k2	1770	1668	1244	1200	1265	1378
Ppl	142	156	158	83	123	103
Ppm1a	9780	8737	6618	6193	6770	7496
Ppm1b	11048	10472	7597	7184	8176	8704
Ppm1d	2138	2220	1682	1765	1968	2052
Ppm1e	9397	8702	6682	5687	6292	6923
Ppm1f	1380	1403	940	926	982	1113
Ppm1g	1685	1567	1264	1149	1323	1312
Ppm1h	6272	6175	4488	3157	3535	3807
Ppm1j	649	653	498	467	522	605
Ppm1k	3012	2752	1842	1989	2189	2482
Ppm1l	4352	3990	3012	2728	3069	3150
Ppm1m	268	270	181	132	130	146
Ppm1n	2473	2241	1879	1688	1849	2055
Ppme1	4542	4226	3162	2943	3219	3605
Ppnr	13	13	11	4	13	6
Ppox	1178	1131	845	906	1040	1011
Ppp1ca	5323	4942	3794	3624	3644	4136
Ppp1cb	15568	14889	10262	10006	11221	12650
Ppp1cc	19614	18202	13458	13646	14360	16462
Ppp1r10	3409	3543	2602	2538	2763	2863
Ppp1r11	2360	2260	1654	1824	1869	2116
Ppp1r12a	4424	4064	3042	2828	3272	3558
Ppp1r12b	2584	2568	2104	1820	1990	2005
Ppp1r12c	2561	2432	1817	1819	1946	2156
Ppp1r13b	1851	1837	1410	1263	1374	1551
Ppp1r13l	171	171	134	151	137	180
Ppp1r14a	70	66	45	52	39	44
Ppp1r14b	226	217	156	143	170	156
Ppp1r14c	183	178	133	120	153	154
Ppp1r14d	6	6	6	2	5	3
Ppp1r15a	667	683	522	536	625	595
Ppp1r15b	3580	3436	2490	2256	2511	2743
Ppp1r16a	1718	1692	1300	1298	1442	1538
Ppp1r16b	1383	1363	998	1184	1254	1350
Ppp1r17	692	565	382	428	396	501
Ppp1r18	631	561	503	463	570	534
Ppp1r18os	178	178	141	144	161	159
Ppp1r1a	1071	1023	735	690	798	879
Ppp1r1b	299	281	249	222	254	270
Ppp1r1c	67	62	36	31	33	32
Ppp1r2	4705	4379	3066	2983	3362	3695
Ppp1r21	1640	1617	1119	1010	1119	1292
Ppp1r26	1543	1481	1069	1065	1123	1184
Ppp1r27	25	26	14	22	29	20
Ppp1r32	21	17	11	18	28	26
Ppp1r35	451	427	334	332	365	401
Ppp1r36	2	1	1	2	0	2
Ppp1r37	3494	3253	2569	2297	2484	2706
Ppp1r3a	35	44	21	23	18	23
Ppp1r3b	52	43	31	89	66	100
Ppp1r3c	1604	1485	1047	903	1032	1169
Ppp1r3d	255	209	148	170	191	208
Ppp1r3e	74	85	67	49	44	72
Ppp1r3f	904	880	642	689	756	812
Ppp1r3fos	107	132	81	102	126	110
Ppp1r3g	14	9	7	55	61	85
Ppp1r42	998	959	760	658	682	834
Ppp1r7	5963	5667	4245	3797	4332	4572
Ppp1r8	2251	2197	1579	1487	1549	1894
Ppp1r9a	8843	8172	6579	5181	6029	6453
Ppp1r9b	5466	5123	3696	3529	3720	4216
Ppp2ca	8821	8744	6149	5703	6215	6985
Ppp2cb	2602	2355	1644	1393	1524	1688
Ppp2r1a	11044	9882	7644	7056	7339	8260
Ppp2r1b	1226	1201	910	844	904	1030
Ppp2r2a	768	770	546	469	558	541
Ppp2r2b	7143	7189	5299	4928	5413	5876
Ppp2r2c	2210	2146	1479	1279	1443	1581
Ppp2r2cos	27	15	14	15	18	12
Ppp2r2d	1862	1741	1329	1270	1417	1536
Ppp2r3a	4295	4041	3069	3017	3357	3658
Ppp2r3c	1927	1796	1247	1212	1352	1436
Ppp2r3d	541	597	502	388	384	370
Ppp2r5a	2574	2418	1825	1904	2135	2372
Ppp2r5b	3330	3128	2395	2231	2442	2708
Ppp2r5c	7196	6790	5005	5089	5645	6135
Ppp2r5d	3661	3374	2662	2511	2683	2962
Ppp2r5e	4374	4318	3100	2603	3002	3243
Ppp3ca	9410	8934	6186	5595	6166	6883
Ppp3cb	7127	6731	4820	4715	5265	5918
Ppp3cc	6442	5978	4514	4730	5390	5845
Ppp3r1	6731	6718	4337	4331	4757	5320
Ppp3r2	5	7	5	2	3	5
Ppp4c	1236	1427	988	946	1047	1206
Ppp4r1	1558	1575	1204	1049	1167	1308
Ppp4r1l-ps	271	244	218	206	211	243
Ppp4r2	4612	4717	3243	3621	3876	4279
Ppp4r4	434	415	280	259	297	318
Ppp5c	2247	2251	1662	1588	1820	1946
Ppp6c	2877	2860	2043	2153	2395	2468
Ppp6r1	3295	3253	2642	2393	2765	2765
Ppp6r2	2545	2517	1819	1742	2090	2166
Ppp6r3	8378	7455	5897	5370	6034	6604
Pprc1	342	402	266	269	276	313
Ppt1	3119	3071	2282	2953	3378	3565
Ppt2	1812	1832	1336	1532	1543	1710
Pptc7	2531	2326	1803	1643	1858	1965
Ppwd1	374	446	298	287	343	327
Ppy	0	0	0	0	0	0
Pqbp1	2063	1882	1402	1400	1482	1667
Pqlc1	637	620	484	469	525	574
Pqlc2	357	353	304	245	309	302
Pqlc3	65	65	49	64	66	69
Pradc1	264	239	162	182	214	173
Praf2	985	1053	688	718	779	811
Pram1	196	182	151	169	223	170
Prame	0	0	0	0	0	0
Pramef12	0	0	0	0	1	0
Pramef12os	0	0	0	0	0	0
Pramef17	0	0	0	0	0	0
Pramef25	0	0	0	0	0	0
Pramef6	0	0	0	0	0	1
Pramef8	1933	1749	1177	1487	1595	1841
Pramel-001	0	0	0	0	0	0
Pramel1	0	0	0	0	0	0
Pramel3	1	1	1	1	3	2
Pramel4	0	0	1	0	0	0
Pramel5	0	0	0	0	0	0
Pramel6	0	0	0	0	0	0
Pramel7	0	0	0	0	0	0
Prap1	64	31	34	45	58	67
Prb1	0	0	0	0	0	0
Prc1	173	198	117	381	438	458
Prcc	2034	1851	1507	1348	1407	1606
Prcp	490	423	329	298	329	368
Prdm1	534	484	371	416	430	521
Prdm10	616	582	438	369	405	451
Prdm11	608	605	453	430	540	539
Prdm12	1	1	1	2	2	0
Prdm13	814	659	519	646	664	769
Prdm14	1	0	0	1	0	0
Prdm15	694	685	485	488	611	665
Prdm16	204	225	132	119	138	149
Prdm2	1786	1956	1400	1324	1403	1534
Prdm4	2010	1912	1490	1381	1512	1604
Prdm5	958	897	682	595	695	793
Prdm6	0	0	0	0	1	0
Prdm8	2545	2489	1894	1688	1963	2113
Prdm9	803	832	627	620	725	819
Prdx1	4207	3934	2740	2940	3174	3449
Prdx2	8034	7680	5702	5897	5934	6722
Prdx3	2035	1903	1411	1399	1509	1649
Prdx4	359	390	231	212	262	296
Prdx5	4428	4034	3106	2956	3107	3643
Prdx6	4334	4335	2963	2651	2674	3130
Prdx6b	6	4	1	0	0	0
Preb	1660	1863	1300	1275	1422	1483
Prelid1	3190	2979	2162	1934	2085	2401
Prelid2	56	52	36	39	36	49
Prelp	418	446	341	205	258	238
Prep	1091	1012	779	683	737	852
Prepl	9187	8723	6265	5692	6564	6918
Prex1	333	370	242	341	384	439
Prex2	4527	4079	3220	2944	3029	3422
Prf1	0	0	1	1	1	0
Prg2	0	0	0	0	0	1
Prg3	0	0	0	0	0	0
Prg4	253	222	193	162	205	202
Prh1	0	0	0	0	0	0
Prickle1	1882	1821	1398	1314	1564	1670
Prickle2	4142	3869	2791	2401	2701	2909
Prickle3	58	80	50	38	30	41
Prickle4	297	278	253	195	256	230
Prim1	492	501	382	398	415	491
Prim2	544	482	359	313	375	457
Prima1	66	77	61	33	66	64
Primpol	383	423	267	245	280	303
Prkaa1	2444	2358	1662	1515	1755	1853
Prkaa2	2263	2029	1544	1399	1558	1643
Prkab1	4376	4113	3259	3213	3535	3793
Prkab2	1603	1523	1114	1061	1270	1423
Prkaca	5207	4769	3511	2647	2847	3266
Prkacb	9374	8762	6266	5945	6681	7463
Prkag1	2150	2051	1579	1424	1457	1710
Prkag2	650	690	485	447	538	576
Prkag2os1	19	21	10	8	18	13
Prkag2os2	104	113	90	53	57	85
Prkag3	49	68	47	40	41	50
Prkar1a	16529	15350	10502	10220	11181	12303
Prkar1b	3417	3153	2479	2164	2277	2620
Prkar2a	5244	5195	3736	3332	3783	3924
Prkar2b	1548	1342	945	913	1011	1132
Prkca	14659	13410	10611	9218	11081	11592
Prkcb	4269	4009	2855	2861	2918	3371
Prkcd	317	307	224	222	237	295
Prkcdbp	119	114	90	73	86	76
Prkce	4625	4217	3130	3205	3628	3969
Prkcg	24	19	8	10	25	23
Prkch	373	404	269	268	302	287
Prkci	2704	2632	1913	1896	2080	2240
Prkcq	348	342	230	208	216	237
Prkcsh	3102	2941	2270	2083	2148	2447
Prkcz	4551	4336	3383	2846	3156	3512
Prkd1	2475	2342	1868	1569	1855	1965
Prkd2	162	175	122	110	126	134
Prkd3	3551	3206	2387	1995	2336	2531
Prkdc	3111	2887	2292	1765	2179	2326
Prkg1	1476	1501	1110	999	1104	1101
Prkg2	318	275	191	192	188	232
Prkra	863	814	601	604	745	858
Prkrip1	1085	1206	916	806	826	925
Prkrir	5028	4844	3675	3199	3419	3718
Prkx	887	840	589	630	700	747
Prl	0	0	0	0	0	0
Prl2a1	0	0	0	0	0	0
Prl2b1	0	0	0	0	0	0
Prl2c1	0	0	0	0	0	0
Prl2c2	0	0	0	0	0	0
Prl2c3	0	0	0	0	0	0
Prl2c5	0	0	0	0	0	0
Prl3a1	0	0	0	0	0	0
Prl3b1	0	0	0	0	1	0
Prl3c1	0	0	0	0	0	0
Prl3d1	0	0	0	0	0	0
Prl3d2	0	0	0	0	0	0
Prl3d3	0	0	0	0	0	0
Prl4a1	19	14	6	0	0	0
Prl5a1	0	0	0	0	0	0
Prl6a1	0	0	0	0	0	0
Prl7a1	0	0	0	0	0	0
Prl7a2	0	0	0	0	0	0
Prl7b1	0	0	0	0	0	0
Prl7c1	0	0	0	0	0	0
Prl7d1	0	0	0	0	0	0
Prl8a1	0	0	0	0	0	0
Prl8a2	0	0	0	0	0	0
Prl8a6	0	0	0	0	0	0
Prl8a8	0	0	0	0	0	0
Prl8a9	0	0	0	0	0	0
Prlh	0	0	0	0	0	0
Prlhr	9	13	10	12	20	18
Prlr	87	82	44	68	57	75
Prm1	3	2	3	1	5	2
Prm2	0	0	2	0	0	0
Prm3	0	0	0	0	0	0
Prmt1	1679	1570	1252	1310	1474	1583
Prmt2	1038	962	748	643	703	756
Prmt3	878	947	605	456	531	627
Prmt5	2221	2264	1695	1401	1542	1704
Prmt6	1231	1228	873	932	1022	1161
Prmt7	2575	2498	1945	1896	2031	2165
Prmt8	926	797	639	570	697	750
Prmt9	873	906	623	546	669	698
Prn	2347	2156	1651	1965	1912	2357
Prnd	13	10	9	2	4	7
Prnp	17281	16389	12060	14419	14845	17369
Prob1	283	292	226	236	272	283
Proc	0	0	0	0	0	0
Proca1	70	59	49	47	58	68
Procr	12	6	2	8	8	8
Prodh	669	678	499	510	594	607
Prodh2	1	1	4	0	2	2
Prok1	166	178	105	267	261	303
Prok2	0	0	0	0	0	0
Prokr1	25	36	20	34	25	33
Prokr2	23	16	17	11	3	10
Prol1	0	0	1	1	0	0
Prom1	41500	39710	31160	18891	21131	22842
Prom2	9	22	10	9	13	11
Prop1	0	0	0	0	0	0
Prorsd1	664	564	421	494	567	600
Pros1	683	640	479	460	421	419
Prosc	2006	2082	1536	1276	1451	1514
Proscos	63	84	66	34	47	43
Proser1	280	304	250	222	240	224
Proser2	664	555	367	300	300	362
Proser3	137	143	102	68	87	76
Prox1	6335	6109	4614	5114	5717	6509
Prox1os	195	179	138	109	156	140
Prox2	235	228	180	135	162	162
Prox2os	85	99	80	61	80	58
Proz	213	173	139	125	135	145
Prp2	0	0	0	0	0	0
Prpf18	3675	3789	2710	2612	2888	3256
Prpf19	4487	4011	3259	3146	3382	3781
Prpf3	1304	1495	1071	842	1018	1115
Prpf31	2932	2834	2198	2111	2323	2456
Prpf38a	1373	1385	998	921	1073	1203
Prpf38b	2239	2394	1731	1661	1932	1941
Prpf39	5433	5394	3989	3871	4531	4635
Prpf4	1572	1548	1174	1057	1308	1404
Prpf40a	5303	4760	3622	3378	3869	4267
Prpf40b	1875	1878	1484	1378	1649	1646
Prpf4b	6966	6770	4910	4939	5541	5591
Prpf6	3256	3202	2472	2156	2481	2573
Prpf8	16720	14822	12539	10324	12443	12429
Prph	124	142	87	57	57	66
Prph2	227577	213511	164349	151398	163373	184822
Prpmp5	0	0	0	0	0	0
Prps1	2570	2287	1685	1798	1933	2200
Prps1l1	0	0	1	0	0	0
Prps1l3	1446	1379	989	936	1049	1180
Prps2	453	404	293	287	346	375
Prpsap1	1140	1097	758	910	969	1045
Prpsap2	3215	3157	2330	2260	2578	2995
Prr11	151	125	91	95	134	98
Prr12	730	724	605	524	632	584
Prr13	1268	1121	831	800	863	924
Prr14	1666	1589	1236	1251	1435	1395
Prr14l	1969	1957	1570	1369	1584	1555
Prr15	17	22	17	15	14	26
Prr15l	36	46	36	27	38	54
Prr16	154	154	102	104	115	123
Prr18	28	23	14	29	29	29
Prr19	10	7	4	10	6	6
Prr22	61	55	34	37	26	34
Prr23a1	0	0	1	0	0	0
Prr23a2	0	0	0	0	0	0
Prr23a3	0	0	0	0	0	1
Prr27	0	0	0	0	0	0
Prr29	3	4	5	1	6	1
Prr3	1126	1100	832	779	990	933
Prr30	1	1	0	0	3	1
Prr32	0	0	0	0	0	0
Prr36	126	121	85	99	112	94
Prr5	79	104	50	45	46	56
Prr5l	160	152	100	129	138	160
Prr7	86	62	57	56	46	61
Prr9	0	0	0	0	0	0
Prrc1	979	959	699	663	756	808
Prrc2a	5668	5792	4494	3873	4526	4390
Prrc2b	13152	12223	9820	8127	9470	10070
Prrc2c	10305	9952	7829	6451	8470	7667
Prrg1	135	113	56	83	76	110
Prrg2	235	256	156	164	224	215
Prrg3	812	804	581	474	532	558
Prrg4	27	22	25	32	41	37
Prrt1	318	367	255	299	322	305
Prrt2	581	594	438	422	490	503
Prrt3	445	436	319	239	256	320
Prrt4	183	169	120	120	150	170
Prrx1	19	40	23	20	18	8
Prrx2	3	2	3	4	1	4
Prrxl1	17	13	13	7	9	14
Prss1	0	0	0	0	0	0
Prss12	28	46	38	32	75	67
Prss16	1	0	0	0	0	0
Prss2	0	0	0	0	0	0
Prss21	0	0	0	0	0	0
Prss22	5	21	15	6	15	14
Prss23	294	306	222	201	223	237
Prss23os	112	127	87	69	82	82
Prss27	20	39	38	14	33	18
Prss28	0	0	0	0	0	0
Prss29	0	0	0	0	0	0
Prss3	0	0	0	0	0	0
Prss30	0	1	0	0	0	1
Prss32	1	2	2	9	14	16
Prss33	9	9	9	11	15	18
Prss34	4	2	1	0	0	0
Prss35	55	53	33	27	40	39
Prss36	217	204	147	140	152	190
Prss37	25	28	18	8	8	21
Prss38	182	173	111	181	209	183
Prss39	0	0	0	0	0	0
Prss40	0	0	0	0	0	0
Prss41	10	11	8	127	160	160
Prss42	0	0	0	0	0	0
Prss43	0	0	0	0	0	0
Prss44	0	0	0	0	0	0
Prss45	7	5	2	6	2	2
Prss46	1	0	1	0	0	0
Prss47	0	0	0	0	0	0
Prss48	1	0	3	2	5	3
Prss50	3	3	1	2	3	2
Prss51	2	1	0	4	1	4
Prss52	12	0	6	3	1	3
Prss53	158	150	125	134	131	141
Prss54	17	16	11	6	4	14
Prss55	0	0	0	1	1	1
Prss56	149	156	103	61	60	105
Prss57	112	113	76	68	71	95
Prss58	0	0	0	0	0	0
Prss8	146	134	117	81	105	126
Prtg	368	330	242	352	366	394
Prtn3	14	9	5	11	3	5
Prune	883	827	646	651	724	712
Prune2	6562	6333	4598	3602	4408	4552
Prx	15	20	14	14	14	20
Psap	28036	25902	19425	17454	18763	20758
Psapl1	14	9	11	16	13	10
Psat1	1424	1480	973	956	1074	1283
Psca	9	18	59	12	11	14
Psd	7391	7335	5761	5414	5914	6001
Psd2	868	837	607	641	700	772
Psd3	5227	4537	3516	3277	3527	3788
Psd4	101	104	84	97	114	125
Psen1	1869	1756	1351	1173	1312	1504
Psen2	760	695	585	705	691	710
Psenen	717	733	520	486	466	536
Psg-ps1	0	0	0	0	0	0
Psg16	631	553	386	367	460	517
Psg17	0	0	0	0	0	0
Psg18	0	0	0	0	0	0
Psg19	0	0	1	0	0	0
Psg20	0	0	0	0	0	0
Psg21	0	0	0	0	0	0
Psg22	0	0	0	0	1	0
Psg23	0	0	0	0	0	0
Psg25	0	0	0	1	1	0
Psg26	0	0	0	0	0	0
Psg27	0	0	0	0	0	0
Psg28	0	0	0	0	0	0
Psg29	29	34	21	13	16	14
Psip1	16329	15586	10658	10558	11735	13031
Pskh1	706	650	479	481	554	561
Psma1	3314	2910	2320	2027	2314	2567
Psma2	4440	4075	2976	2786	3027	3390
Psma3	6972	6486	4813	3958	4227	4986
Psma4	3571	3510	2448	2465	2884	3068
Psma5	3383	3188	2350	2169	2313	2719
Psma6	3281	3038	2203	2144	2408	2580
Psma7	3393	3028	2324	2098	2410	2627
Psma8	9	2	1	4	6	2
Psmb1	3586	3269	2523	2339	2686	2920
Psmb10	351	295	268	222	256	270
Psmb11	0	3	2	5	1	2
Psmb2	1742	1608	1154	1146	1232	1393
Psmb3	2210	2118	1531	1452	1560	1802
Psmb4	6003	5435	4184	3860	4131	4739
Psmb5	2604	2416	1757	1109	1344	1456
Psmb6	4168	3806	2905	2169	2277	2720
Psmb7	5683	5157	3809	3886	3951	4764
Psmb8	94	105	53	31	31	43
Psmb9	55	47	47	31	40	31
Psmc1	5949	5480	3927	3542	3895	4370
Psmc2	3257	3455	2396	2444	2577	3011
Psmc3	6047	5597	4341	3706	3946	4543
Psmc3ip	510	532	393	354	381	452
Psmc4	3898	3662	2798	2619	2853	3049
Psmc5	3927	3753	2787	2619	2722	3122
Psmc6	5811	5281	3930	3693	4190	4744
Psmd1	6475	6000	4306	4207	4677	5298
Psmd10	709	641	444	402	428	514
Psmd11	1475	1574	1074	1002	1128	1211
Psmd12	2081	2108	1452	1445	1661	1703
Psmd13	2358	2195	1705	1568	1736	1971
Psmd14	3547	3141	2418	2192	2405	2722
Psmd2	8607	8020	6017	5309	5990	6614
Psmd3	1487	1626	1055	964	1165	1195
Psmd4	4879	4551	3534	3331	3476	3849
Psmd5	2343	2395	1764	1661	1764	1937
Psmd6	2940	2724	1969	2000	2232	2573
Psmd7	968	1071	679	626	751	804
Psmd8	4009	3713	2723	2625	2857	3082
Psmd9	1272	1259	1002	833	916	990
Psme1	1178	1090	796	733	790	848
Psme2	1065	1006	803	718	779	843
Psme2b	33	31	21	17	17	26
Psme3	3379	3078	2445	2298	2506	2712
Psme4	4501	4147	3103	2892	3290	3483
Psmf1	1391	1330	1018	927	1039	1179
Psmg1	694	616	520	497	467	614
Psmg2	831	847	622	550	610	750
Psmg3	150	153	120	111	87	134
Psmg4	282	248	165	213	246	311
Psors1c2	1	2	2	0	2	0
Pspc1	2578	2439	1947	1708	2018	2145
Psph	982	855	673	591	635	713
Pspn	91	89	62	61	65	91
Psrc1	40	31	45	55	65	72
Pstk	1033	984	729	713	789	824
Pstpip1	28	24	20	28	29	26
Pstpip2	66	43	33	33	42	57
Ptafr	18	5	9	6	9	8
Ptar1	1386	1210	904	667	762	734
Ptbp1	2506	2492	1825	1694	1913	1985
Ptbp2	6578	6470	4711	4933	5231	5785
Ptbp3	1673	1659	1137	1177	1351	1477
Ptcd1	1622	1580	1120	1057	1109	1249
Ptcd2	870	868	655	607	674	786
Ptcd3	3071	2885	2272	2412	2771	2915
Ptch1	4275	4016	2988	2865	3406	3612
Ptch2	4	5	8	1	7	12
Ptchd1	206	182	130	153	145	146
Ptchd2	460	457	335	412	354	408
Ptchd3	0	0	0	0	0	0
Ptchd4	326	349	238	134	191	161
Ptcra	9	5	9	7	5	9
Ptdss1	2649	2496	1846	1881	2020	2425
Ptdss2	841	944	637	572	690	747
Pten	18857	17206	12907	12079	13460	14525
Pter	3182	2691	2066	2451	2661	2943
Ptf1a	1	2	3	0	2	6
Ptf1aos	1	2	0	0	1	3
Ptgdr	0	0	1	1	0	0
Ptgdr2	58	51	49	55	62	65
Ptgds	2934	3633	2697	714	1290	440
Ptger1	995	987	766	713	785	903
Ptger2	14	11	6	6	8	9
Ptger3	28	27	21	20	11	22
Ptger4	16	15	14	13	13	19
Ptges	108	119	94	100	114	128
Ptges2	1536	1456	1150	994	1072	1176
Ptges3	6576	6420	4498	4106	4567	5193
Ptges3l	125	120	87	65	70	83
Ptgfr	13	15	18	7	9	4
Ptgfrn	591	539	430	398	478	500
Ptgir	44	32	29	20	23	29
Ptgis	420	341	261	276	288	308
Ptgr1	68	59	39	39	45	43
Ptgr2	3717	3346	2474	2187	2521	2856
Ptgs1	51	56	31	23	28	43
Ptgs2	28	28	24	163	167	179
Pth	0	0	1	0	0	0
Pth1r	86	92	55	48	56	49
Pth2	6	8	1	1	3	8
Pth2r	15	20	3	9	6	4
Pthlh	2	2	5	1	3	0
Ptk2	3578	3377	2584	2260	2628	2881
Ptk2b	106	117	73	46	61	74
Ptk6	5	3	2	3	2	6
Ptk7	641	581	462	366	462	463
Ptma	25963	25538	17074	16520	18130	20527
Ptms	6483	6403	4295	5104	5277	5727
Ptn	3262	3477	2060	1832	1894	2066
Ptov1	3088	2901	2318	2215	2411	2405
Ptp4a1	3936	3576	2472	2119	2371	2763
Ptp4a2	10413	9985	7065	5475	6062	6846
Ptp4a3	11971	12064	9100	7383	8348	8972
Ptpa	4272	3903	2943	2661	2885	3371
Ptpdc1	765	732	553	544	720	696
Ptpn1	1201	1293	957	887	928	915
Ptpn11	6978	6607	4817	4387	4783	5356
Ptpn12	661	651	520	490	549	541
Ptpn13	851	717	686	797	900	881
Ptpn14	168	175	151	100	116	104
Ptpn18	128	140	68	79	112	96
Ptpn2	3412	3149	2460	2061	2419	2434
Ptpn20	49	48	28	19	29	27
Ptpn21	3716	3487	2853	2394	2668	2736
Ptpn22	24	21	14	9	19	21
Ptpn23	1126	1094	876	774	891	885
Ptpn3	246	222	189	170	247	200
Ptpn4	11118	9770	7647	6919	7872	8357
Ptpn5	82	91	75	40	50	69
Ptpn6	56	43	49	32	40	33
Ptpn7	2	2	2	1	1	4
Ptpn9	777	875	580	555	617	704
Ptpra	4275	4142	2999	2774	3067	3576
Ptprb	939	918	751	513	607	593
Ptprc	46	48	29	26	24	30
Ptprcap	52	57	47	62	72	52
Ptprd	10219	9693	7394	5799	7056	7065
Ptpre	412	293	269	291	365	307
Ptprf	3525	3211	2488	2529	2773	3017
Ptprg	3256	2968	2352	1717	2025	2102
Ptprh	2	9	6	3	5	7
Ptprj	1639	1569	1134	1039	1202	1288
Ptprk	2410	2219	1717	1449	1640	1787
Ptprm	968	1039	747	667	689	787
